centro_id,clave_centro,calle_centro,colonia_centro,numero_centro,estado_centro,asociacion_id_rid
1,15672,Cambridge,Cottonwood,1,Ontario,10
2,60118,Cody,Paget,1,Quebec,6
3,33385,Melody,Myrtle,1,Alberta,5
4,75045,Fordem,Valley Edge,1,British,9
5,32355,Randy,Lakewood Gardens,2,Alberta,5
6,27859,Hoard,Golf Course,1,Manitoba,1
7,26210,Lukken,Anniversary,1,Saskatchewan,7
8,58906,Maywood,Thackeray,2,Quebec,6
9,42227,Twin Pines,Calypso,1,New Brunswick,2
10,38989,Reindahl,Springs,2,New Brunswick,2
11,15090,Texas,Waxwing,3,Quebec,6
12,61025,Fordem,Nova,1,Labrador,3
13,81694,Melvin,Continental,2,Labrador,3
14,47494,Maple Wood,Lighthouse Bay,1,Prince Edward Island,8
15,25131,Lakewood,Park Meadow,2,Ontario,10
16,52302,Vermont,Sugar,3,Labrador,3
17,67535,Haas,Bunker Hill,3,New Brunswick,2
18,70479,Mallory,Stoughton,2,British,9
19,28765,Heath,Sachtjen,1,Columbia,4
20,32290,Sutteridge,Gale,2,Columbia,4
